NUMBER_METRICS,NUMBER_DISCOUNTS,NUMBER_GUARANTEES,COMPLEXITY,ENTIRES_PER_METRIC,RESPONSE_AVG,RESPONSE_MIN,RESPONSE_MAX,RESPONSE_SD,BYTES_RECEIVED,NUMBER_COLLECTIONS,NUMBER_ITERATIONS
64,2,2,simple,7500,791.82,708,1046,55.39,171000,1,100
64,4,4,simple,7500,801.16,688,1158,67.69,180400,1,100
64,8,8,simple,7500,815.97,693,1033,57.19,185000,1,100
64,16,16,simple,7500,835.04,734,1154,72.66,202200,1,100
64,32,32,simple,7500,852.19,749,1026,53.05,241800,1,100
64,64,64,simple,7500,944.99,826,1315,60.53,372900,1,100
64,128,128,simple,7500,1125.27,1015,1289,48.53,491800,1,100
64,256,256,simple,7500,1353.15,1162,2113,156.02,881300,1,100
64,512,512,simple,7500,1870.47,1630,2572,215.02,1610000,1,100
64,1024,1024,simple,7500,2886.26,2616,4698,326.81,2992900,1,100
