NUMBER_METRICS,NUMBER_DISCOUNTS,NUMBER_GUARANTEES,COMPLEXITY,ENTIRES_PER_METRIC,RESPONSE_AVG,RESPONSE_MIN,RESPONSE_MAX,RESPONSE_SD,BYTES_RECEIVED,NUMBER_COLLECTIONS,NUMBER_ITERATIONS
2,64,64,simple,7500,285.72,239,586,50.20,346500,1,100
4,64,64,simple,7500,316.10,240,477,48.85,329500,1,100
8,64,64,simple,7500,361.32,301,446,21.02,343900,1,100
16,64,64,simple,7500,452.15,404,553,25.81,341900,1,100
32,64,64,simple,7500,596.38,534,734,28.09,346900,1,100
64,64,64,simple,7500,941.62,804,1466,105.77,361200,1,100
128,64,64,simple,7500,1563.48,1426,2350,118.28,355400,1,100
256,64,64,simple,7500,3500.40,3244,4471,185.66,360000,1,100
512,64,64,simple,7500,9006.81,7481,10249,398.65,400800,1,100
1024,64,64,simple,7500,29641.24,27410,34018,1597.05,346700,1,100
